Arti Indonesia;Kata Toraja
"Saya lapar dan haus";"Tangdia kumande mawarrang"
"lapar";"Tangdia"
"Saya ingin makan";"Kale ta kumande"
"Saya pergi ke pasar";"Kale ta lolo"
"Saya suka belajar";"Kale ta bodong"
"Saya sangat senang";"Nek ma'tang di"
"Apakah kamu baik-baik saja?";"Opu makku napang?"
"Ayo kita berangkat";"Ayo ta lolo"
"Saya akan pulang ke rumah";"Kale ta baliku"
"Cuaca hari ini sangat panas";"Hujan tori' nahing"
"Saya tidak mengerti";"Na' saro sa'dan"
"Saya butuh bantuan";"Kale ta aide'"
"Saya suka musik";"Kale ta musik"
"Saya ingin tidur";"Kale ta untak"
"Saya membaca buku";"Kale ta ngana buku"
"Saya menonton film";"Kale ta nonton film"
"Anak-anak bermain di luar";"Anak-anak ta main di luar"
"Saya sangat lelah";"Na' ma'pe' lelah"
"Dia adalah teman saya";"Dia na' teman ta"
"Selamat pagi!";"Selamat pagi!"
"Terima kasih banyak!";"Matur sukse!"
"Saya bekerja di kantor";"Kale ta kerja di kantor"
"Saya belajar Bahasa Toraja";"Kale ta belajar Bahasa Toraja"
"Kita akan bertemu besok";"Ta bakal temuan besok"
"Dia sangat pandai";"Dia na' pandai"
"Saya merasa bahagia";"Kale ta ma'tang"
"Saya ingin minum air";"Kale ta minum air"
"Saya pergi ke sekolah";"Kale ta sekolah"
"Saya bermain sepak bola";"Kale ta main sepak bola"
"Saya suka makan nasi";"Kale ta makanna nasi"
"Apakah kamu sudah makan?";"Opu makku ta kumande?"
"Saya tidak suka hujan";"Na' saro ta hujan"
"Saya pergi jalan-jalan";"Kale ta jalan-jalan"
"Dia memiliki banyak teman";"Dia na' banyak teman"
"Saya melihat bintang di langit";"Kale ta lolo bintang di langit"
"Semoga hari ini baik";"Semoga tori' baik"
"Saya merasa sakit kepala";"Kale ta ma'jaga pale"
"Saya ingin pergi ke pantai";"Kale ta lolo ke pantai"
"Saya suka berolahraga";"Kale ta olahraga"
"Dia sedang belajar di perpustakaan";"Dia ta belajar di perpustakaan"
"Ini adalah rumah saya";"Nia na' rumah ta"
"Saya senang mendengarkan cerita";"Kale ta ma'kadi' cerita"
"Dia membantu saya dengan tugas";"Dia ta aide' na' kerja"
"Saya sering pergi ke toko";"Kale ta lolo ke toko"
"Saya sedang menunggu teman";"Kale ta nunggu teman"
"Saya suka melihat film";"Kale ta ma' lihat film"
"Dia pergi ke gereja";"Dia ta lolo ke gereja"
"Saya ingin belajar lebih banyak";"Kale ta belajar lebih banyak"
"Saya suka makanan pedas";"Kale ta makanna pedas"
"Dia sangat ramah";"Dia na' ramah"
"Cuaca sangat dingin hari ini";"Hujan tori' dingin"
"Kita harus pulang sekarang";"Ta harus baliku sekarang"
"Dia membeli sayur di pasar";"Dia ta beli sayur di pasar"
"Saya mendengarkan musik";"Kale ta dengar musik"
"Dia belajar untuk ujian";"Dia ta belajar ke ujian"
"Selamat ulang tahun!";"Selamat ulang tahun!"
"Saya ingin berbicara denganmu";"Kale ta bicarai denganmu"
"Dia suka bermain alat musik";"Dia na' main alat musik"
"Ini adalah waktu yang baik";"Nia na' waktu baik"
"Saya merasa tenang di sini";"Kale ta ma'tang di sini"
